date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1980-01-01,0.2858,0.2827,0.2852,0.292,0.3039,0.3078,0.3119,0.3148,0.3221,0.3197,0.3137,0.3109,0.3179,0.337,0.3667,0.4206,0.4688,0.4922,0.5078,0.5161,0.5202,0.5153,0.5062,0.4971
1980-01-02,0.4856,0.4761,0.4697,0.461,0.4488,0.4341,0.4113,0.391,0.3642,0.3334,0.3151,0.3043,0.2922,0.2792,0.2636,0.2664,0.2714,0.2663,0.2617,0.2654,0.2777,0.2761,0.2649,0.2542
1980-01-03,0.2492,0.2738,0.2996,0.3125,0.3387,0.3882,0.4323,0.4764,0.4909,0.5027,0.5187,0.5295,0.5799,0.6008,0.639,0.6958,0.7407,0.7659999999999999,0.758,0.7326,0.7265,0.6973,0.6805,0.6619
1980-01-04,0.6416,0.6263,0.6573,0.6902,0.7056,0.7128,0.6881,0.6503,0.6256,0.5951,0.5446,0.4902,0.478,0.4744,0.4633,0.4449,0.4578,0.4607,0.4725,0.4889,0.5101,0.5159,0.5183,0.5171
1980-01-05,0.5111,0.491,0.4942,0.5184,0.5545,0.5817,0.6038,0.6283,0.6459,0.6535,0.6535,0.647,0.6409,0.636,0.6367,0.6559,0.6892,0.7055,0.7139,0.728,0.727,0.7082,0.6916,0.6799
1980-01-06,0.6644,0.6552,0.6642,0.6742,0.6816,0.6812,0.6781,0.6816,0.6893,0.6969,0.7004,0.7054,0.7036,0.6933,0.6722,0.6548,0.6343,0.6127,0.5734,0.5331,0.4831,0.4301,0.3839,0.3635
1980-01-07,0.3443,0.3314,0.3081,0.2822,0.2617,0.2441,0.2338,0.2294,0.2336,0.2293,0.2194,0.2177,0.2214,0.2312,0.242,0.26899999999999996,0.3152,0.34700000000000003,0.3431,0.3244,0.3004,0.2699,0.2449,0.2261
1980-01-08,0.2095,0.2067,0.217,0.2285,0.2347,0.2318,0.2265,0.2206,0.215,0.2103,0.2123,0.2207,0.2201,0.2203,0.2423,0.2732,0.3012,0.3282,0.3476,0.3592,0.3531,0.3415,0.3298,0.3299
1980-01-09,0.3376,0.3466,0.3554,0.3622,0.379,0.4011,0.4072,0.4103,0.4237,0.4299,0.42,0.3999,0.3763,0.3554,0.3465,0.3465,0.3422,0.32899999999999996,0.3073,0.2871,0.2652,0.2417,0.2168,0.1916
1980-01-10,0.1714,0.1566,0.1447,0.1347,0.1273,0.1229,0.1187,0.1146,0.113,0.1084,0.098,0.0877,0.0774,0.0719,0.073,0.0811,0.0903,0.0986,0.1063,0.1162,0.1321,0.1428,0.1443,0.14300000000000002
1980-01-11,0.1408,0.1378,0.1363,0.1427,0.1509,0.1538,0.1485,0.1418,0.1426,0.1427,0.1368,0.1266,0.1233,0.1162,0.1267,0.1544,0.1748,0.1787,0.1749,0.1644,0.1484,0.129,0.1109,0.0977
1980-01-12,0.1035,0.114,0.1276,0.1416,0.159,0.1687,0.172,0.1681,0.1676,0.1618,0.1677,0.1735,0.1871,0.1977,0.2361,0.2724,0.3034,0.326,0.3419,0.3486,0.3466,0.3394,0.3227,0.3127
1980-01-13,0.3024,0.2868,0.2729,0.2672,0.2659,0.2628,0.2551,0.2419,0.22899999999999998,0.2002,0.165,0.1424,0.1316,0.1305,0.1378,0.1546,0.1672,0.1692,0.1679,0.1676,0.1738,0.1871,0.2049,0.2234
1980-01-14,0.2419,0.2526,0.2609,0.2616,0.2572,0.2563,0.2592,0.2771,0.3082,0.3022,0.2871,0.2757,0.2685,0.2751,0.2939,0.3276,0.3683,0.3911,0.405,0.4169,0.426,0.4114,0.3934,0.3754
1980-01-15,0.366,0.3671,0.3698,0.3782,0.3926,0.4081,0.4111,0.4052,0.3936,0.3667,0.3389,0.3304,0.3529,0.3914,0.4219,0.4566,0.4742,0.4751,0.4538,0.4383,0.4342,0.4462,0.457,0.4591
1980-01-16,0.4312,0.3969,0.3595,0.3313,0.3132,0.2935,0.2744,0.2622,0.2526,0.2435,0.2271,0.2044,0.1889,0.1858,0.196,0.22,0.244,0.262,0.2729,0.2772,0.272,0.2524,0.2199,0.1928
1980-01-17,0.1732,0.1581,0.1481,0.1494,0.1574,0.1723,0.1915,0.2102,0.2249,0.2285,0.2203,0.2076,0.1955,0.1906,0.1912,0.1943,0.1993,0.2009,0.1988,0.1919,0.1811,0.1693,0.1572,0.15
1980-01-18,0.1531,0.1682,0.19,0.2087,0.2204,0.2255,0.2272,0.2308,0.2361,0.231,0.2158,0.2062,0.1766,0.1452,0.1243,0.1221,0.1356,0.1582,0.191,0.2281,0.261,0.2834,0.2995,0.3076
1980-01-19,0.308,0.314,0.3373,0.3825,0.4205,0.4486,0.48200000000000004,0.5138,0.5348,0.5692,0.5812,0.573,0.5487,0.5397,0.5474,0.5691,0.6031,0.6392,0.6616,0.6663,0.6733,0.6743,0.6637,0.6394
1980-01-20,0.6108,0.5668,0.5287,0.48,0.4367,0.4184,0.4161,0.4036,0.381,0.3569,0.34700000000000003,0.3437,0.3304,0.3071,0.2865,0.287,0.29600000000000004,0.3059,0.3233,0.3444,0.3713,0.4092,0.4481,0.5117
1980-01-21,0.6052,0.6947,0.7762,0.8524,0.9079,0.9509,0.9717,0.9736,0.9434,0.9139,0.8949,0.8787,0.8671,0.8927,0.8894,0.8527,0.7869,0.6926,0.6727,0.6988,0.7316,0.7771,0.8084,0.8255
1980-01-22,0.8324,0.8318,0.8323,0.8355,0.8345,0.8253,0.8109999999999999,0.794,0.774,0.7667,0.7741,0.7994,0.8192,0.8283,0.828,0.8161,0.7991,0.777,0.7686,0.7559999999999999,0.7274,0.6977,0.6719,0.6568
1980-01-23,0.6503,0.6443,0.6412,0.6439,0.6345,0.6068,0.5764,0.5429999999999999,0.5098,0.4862,0.4825,0.4959,0.5052,0.5206,0.522,0.5153,0.5145,0.4983,0.4886,0.4747,0.4571,0.4292,0.3981,0.3779
1980-01-24,0.3595,0.3339,0.3192,0.3089,0.3006,0.2985,0.2995,0.2988,0.3034,0.3107,0.3319,0.3592,0.3783,0.3771,0.3623,0.3419,0.3378,0.3403,0.3468,0.3506,0.3497,0.3396,0.3165,0.2954
1980-01-25,0.2774,0.2717,0.2594,0.2422,0.2291,0.2182,0.2223,0.2236,0.2138,0.1968,0.168,0.1458,0.1366,0.1322,0.1252,0.1194,0.1132,0.1073,0.1053,0.1063,0.1116,0.1163,0.1213,0.1229
1980-01-26,0.1223,0.1231,0.1315,0.1331,0.1294,0.1337,0.1427,0.1571,0.1717,0.1765,0.1742,0.1726,0.1776,0.1833,0.1919,0.2173,0.2561,0.2717,0.2722,0.2712,0.2644,0.2423,0.2246,0.2232
1980-01-27,0.2359,0.2425,0.2324,0.2362,0.2606,0.2688,0.2502,0.2298,0.2202,0.1905,0.1488,0.1171,0.1036,0.1085,0.1241,0.1448,0.17,0.1876,0.2017,0.2117,0.2453,0.285,0.3013,0.3154
1980-01-28,0.3369,0.3734,0.3997,0.4275,0.461,0.4812,0.5013,0.5392,0.5634,0.564,0.528,0.4653,0.3977,0.3312,0.2687,0.22699999999999998,0.2033,0.1805,0.158,0.1458,0.1368,0.1296,0.124,0.1233
1980-01-29,0.1269,0.1287,0.1265,0.1263,0.1254,0.1209,0.1251,0.1443,0.1757,0.2037,0.2286,0.2556,0.2792,0.2884,0.3063,0.3615,0.4019,0.4412,0.4553,0.4694,0.5173,0.5623,0.5769,0.5562
1980-01-30,0.552,0.5686,0.5920000000000001,0.604,0.6395,0.6617,0.6747,0.7086,0.743,0.7454,0.7385,0.7515,0.7801,0.7739,0.7443,0.6984,0.6358,0.5614,0.4801,0.3643,0.3243,0.3063,0.2316,0.2499
1980-01-31,0.309,0.3975,0.496,0.589,0.6524,0.69,0.7123,0.6851,0.6758,0.6824,0.7115,0.7424,0.7347,0.6803,0.6155,0.5741,0.612,0.7224,0.7797,0.7638,0.7363,0.7088,0.6702,0.6188
1980-02-01,0.5669,0.5109,0.4485,0.3751,0.3058,0.2453,0.2054,0.1879,0.1655,0.1435,0.1423,0.1678,0.2018,0.2411,0.2609,0.2557,0.2505,0.2449,0.2295,0.1964,0.1694,0.1798,0.2175,0.2487
1980-02-02,0.2912,0.3599,0.4241,0.4502,0.4552,0.5710000000000001,0.6889,0.7004,0.6476,0.5706,0.4239,0.3099,0.28600000000000003,0.31,0.3134,0.3054,0.2987,0.2729,0.2596,0.2665,0.2505,0.2235,0.2144,0.205
1980-02-03,0.1929,0.1844,0.1981,0.2745,0.3334,0.3623,0.35,0.373,0.3864,0.36700000000000005,0.3188,0.2749,0.2188,0.1863,0.1556,0.1075,0.0708,0.073,0.1282,0.1791,0.1964,0.1874,0.1887,0.1903
1980-02-04,0.1879,0.1771,0.1676,0.1687,0.18,0.2044,0.2412,0.2935,0.3586,0.4144,0.445,0.4649,0.5112,0.5343,0.5545,0.5862,0.6271,0.6562,0.6308,0.613,0.6312,0.6384,0.6388,0.6236
1980-02-05,0.6239,0.6207,0.6292,0.637,0.6265,0.5947,0.5544,0.5377,0.5257,0.5186,0.5109,0.4997,0.47100000000000003,0.4247,0.3779,0.3453,0.3133,0.294,0.2753,0.2569,0.2605,0.2803,0.2882,0.2913
1980-02-06,0.2764,0.249,0.2304,0.2077,0.182,0.1601,0.1498,0.1568,0.171,0.1754,0.182,0.19399999999999998,0.1931,0.1838,0.1938,0.2619,0.3554,0.414,0.4211,0.3835,0.3335,0.2777,0.226,0.18899999999999997
1980-02-07,0.1573,0.1372,0.1019,0.0925,0.1246,0.1522,0.1426,0.1519,0.1822,0.2447,0.2838,0.2875,0.3025,0.3281,0.3284,0.3332,0.3395,0.3276,0.3141,0.3172,0.3129,0.3181,0.3293,0.363
1980-02-08,0.3939,0.4187,0.46,0.4966,0.5337,0.574,0.5745,0.5859,0.6004,0.57,0.534,0.5343,0.5175,0.4929,0.4854,0.4677,0.4911,0.4919,0.4885,0.4771,0.4519,0.4235,0.4209,0.4271
1980-02-09,0.4202,0.4047,0.4052,0.3851,0.3666,0.3758,0.4128,0.4587,0.4908,0.5239,0.5559,0.5696,0.6028,0.568,0.5391,0.5362,0.5333,0.5316,0.5354,0.5502,0.6037,0.6188,0.5879,0.5604
1980-02-10,0.5523,0.5878,0.6522,0.6751,0.6523,0.5901,0.5666,0.5324,0.5003,0.4864,0.4745,0.4861,0.5097,0.5407,0.5529,0.5326,0.4867,0.4615,0.4645,0.4801,0.4995,0.4796,0.4437,0.4048
