date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1980-01-01,0.1496,0.1502,0.1485,0.147,0.1489,0.1483,0.1475,0.1486,0.1513,0.1509,0.1469,0.1507,0.158,0.1671,0.1774,0.1998,0.2217,0.2326,0.2321,0.2237,0.2164,0.2083,0.1967,0.1855
1980-01-02,0.1781,0.1747,0.1685,0.1587,0.1431,0.1257,0.1064,0.0913,0.0835,0.0751,0.0653,0.0622,0.0577,0.0569,0.0611,0.0813,0.1107,0.14,0.1715,0.20800000000000002,0.244,0.2711,0.2982,0.3258
1980-01-03,0.355,0.3993,0.4224,0.4174,0.4052,0.3855,0.3875,0.3293,0.3085,0.3131,0.3224,0.3328,0.3492,0.3874,0.4232,0.4563,0.4892,0.5188,0.5613,0.5821,0.5695,0.5644,0.5636,0.5494
1980-01-04,0.5381,0.5161,0.5155,0.5118,0.4885,0.4446,0.4116,0.4013,0.3922,0.3899,0.3951,0.4263,0.4749,0.4921,0.4873,0.4943,0.5113,0.5176,0.5202,0.5218,0.5322,0.5411,0.5341,0.5114
1980-01-05,0.491,0.4775,0.4707,0.4951,0.5206,0.5428,0.5626,0.5811,0.5921,0.5948,0.591,0.597,0.6105,0.6177,0.6246,0.6294,0.6364,0.6363,0.6349,0.6354,0.6319,0.625,0.6158,0.6078
1980-01-06,0.6052,0.6114,0.6242,0.6363,0.6386,0.6373,0.621,0.6083,0.5812,0.551,0.5149,0.4754,0.444,0.4098,0.3823,0.364,0.3481,0.3208,0.2952,0.2733,0.2542,0.2311,0.212,0.1973
1980-01-07,0.1805,0.1702,0.1722,0.1765,0.1778,0.1751,0.1683,0.1654,0.1616,0.1613,0.1534,0.1458,0.1477,0.1577,0.1801,0.2107,0.2363,0.2388,0.2319,0.2133,0.1951,0.1868,0.1812,0.1791
1980-01-08,0.1756,0.1758,0.18600000000000003,0.2022,0.2165,0.2146,0.2028,0.1967,0.1952,0.1971,0.19399999999999998,0.1892,0.1875,0.1933,0.2182,0.2437,0.2681,0.2867,0.3046,0.3129,0.3089,0.3089,0.3162,0.3133
1980-01-09,0.314,0.3326,0.3492,0.3597,0.3848,0.3969,0.4077,0.4175,0.4197,0.4192,0.4136,0.4149,0.4116,0.3876,0.3517,0.3173,0.2871,0.2625,0.23199999999999998,0.2142,0.2067,0.2013,0.1918,0.1782
1980-01-10,0.1633,0.1472,0.1307,0.1205,0.1152,0.1095,0.1038,0.0987,0.0967,0.0913,0.0833,0.0753,0.0679,0.0665,0.0703,0.0806,0.0925,0.1023,0.1121,0.1273,0.15,0.1699,0.1878,0.2018
1980-01-11,0.2154,0.228,0.2282,0.2301,0.22899999999999998,0.223,0.2235,0.228,0.2313,0.2302,0.2136,0.184,0.1435,0.1173,0.096,0.08800000000000001,0.0795,0.0706,0.063,0.0548,0.0493,0.0467,0.0433,0.0389
1980-01-12,0.0375,0.0371,0.0381,0.0396,0.0411,0.040999999999999995,0.0416,0.0459,0.0539,0.0604,0.0627,0.0639,0.0642,0.0644,0.07400000000000001,0.0961,0.1201,0.136,0.1516,0.1684,0.1832,0.1932,0.2059,0.221
1980-01-13,0.2395,0.2566,0.2677,0.2783,0.2974,0.3024,0.2993,0.3094,0.3142,0.3121,0.3007,0.2979,0.2904,0.2833,0.2547,0.2271,0.2113,0.2026,0.1987,0.1956,0.1923,0.1961,0.198,0.1995
1980-01-14,0.1992,0.2026,0.2089,0.2206,0.2286,0.2294,0.2252,0.2234,0.223,0.2319,0.239,0.2604,0.3104,0.3754,0.4148,0.4226,0.4074,0.3709,0.3514,0.3501,0.3572,0.37,0.3821,0.3768
1980-01-15,0.3796,0.3762,0.38299999999999995,0.3651,0.3599,0.3558,0.3549,0.3582,0.3349,0.3094,0.2773,0.2579,0.2538,0.2567,0.2602,0.2708,0.2741,0.2637,0.2393,0.214,0.1943,0.1826,0.1739,0.1616
1980-01-16,0.1482,0.14300000000000002,0.1408,0.1379,0.1384,0.1345,0.1292,0.1218,0.1165,0.1062,0.0915,0.0773,0.0697,0.0683,0.075,0.0904,0.106,0.1139,0.1158,0.1157,0.1162,0.1145,0.1117,0.1112
1980-01-17,0.1106,0.1101,0.1107,0.1144,0.121,0.1278,0.1345,0.1386,0.139,0.1309,0.1159,0.1049,0.0983,0.0979,0.1066,0.1214,0.131,0.139,0.1456,0.151,0.1559,0.1591,0.1656,0.1738
1980-01-18,0.1788,0.1913,0.2016,0.2293,0.2387,0.2422,0.2587,0.2713,0.278,0.2787,0.2674,0.2725,0.2847,0.2789,0.2589,0.248,0.251,0.2535,0.2607,0.2675,0.2712,0.2735,0.2672,0.2599
1980-01-19,0.2469,0.2393,0.2398,0.2472,0.2603,0.2709,0.2826,0.3047,0.32299999999999995,0.3285,0.3184,0.3294,0.345,0.3466,0.3634,0.3777,0.3948,0.3927,0.3885,0.386,0.3934,0.4107,0.4207,0.4253
1980-01-20,0.4183,0.4061,0.3874,0.36,0.3245,0.3035,0.2928,0.2839,0.2613,0.2484,0.2518,0.2636,0.2775,0.2688,0.2644,0.2728,0.2752,0.2809,0.2936,0.3153,0.344,0.3651,0.3672,0.3762
1980-01-21,0.3888,0.4187,0.4614,0.5202,0.5893,0.6427,0.6903,0.7389,0.7829999999999999,0.7874,0.7781,0.7606,0.7519,0.7355,0.7064,0.6651,0.626,0.6008,0.5635,0.5245,0.4648,0.4208,0.3963,0.3882
1980-01-22,0.3819,0.3823,0.376,0.3602,0.3501,0.3445,0.3467,0.3431,0.3388,0.3379,0.32799999999999996,0.3229,0.319,0.3139,0.3105,0.3034,0.292,0.2798,0.2666,0.2605,0.2546,0.2514,0.2479,0.2456
1980-01-23,0.2431,0.2409,0.2394,0.2409,0.235,0.2336,0.2326,0.2336,0.2335,0.2277,0.2239,0.2265,0.22399999999999998,0.2193,0.2133,0.2107,0.2067,0.1943,0.1818,0.1668,0.1527,0.14400000000000002,0.1393,0.1402
1980-01-24,0.14,0.1399,0.1452,0.1437,0.1359,0.1292,0.1235,0.1182,0.1145,0.1138,0.1116,0.1096,0.1123,0.1147,0.113,0.1143,0.1205,0.1202,0.1173,0.1147,0.1151,0.11699999999999999,0.1214,0.127
1980-01-25,0.1319,0.1367,0.14,0.1381,0.1363,0.1394,0.1448,0.1451,0.1428,0.1299,0.1128,0.0978,0.0894,0.0859,0.0869,0.0939,0.096,0.0896,0.0797,0.0728,0.0715,0.0755,0.0823,0.086
1980-01-26,0.0867,0.0871,0.0886,0.0844,0.0782,0.0729,0.0723,0.0766,0.0814,0.0802,0.0748,0.0684,0.0694,0.0773,0.0886,0.1121,0.1406,0.1566,0.1623,0.1609,0.1525,0.1391,0.1285,0.1237
1980-01-27,0.1203,0.1142,0.1061,0.0985,0.0924,0.08199999999999999,0.0689,0.0623,0.0635,0.0608,0.0581,0.0609,0.0686,0.08,0.0977,0.1178,0.1449,0.1691,0.1919,0.2227,0.2559,0.2627,0.2641,0.2799
1980-01-28,0.2849,0.2861,0.28300000000000003,0.2725,0.2546,0.2382,0.2202,0.1908,0.1579,0.1278,0.1039,0.0925,0.0845,0.0757,0.0655,0.0578,0.0558,0.0551,0.0567,0.0605,0.0653,0.0686,0.0707,0.0731
1980-01-29,0.0751,0.0786,0.0824,0.0881,0.0974,0.1093,0.1236,0.1395,0.1554,0.1657,0.174,0.1815,0.1865,0.1926,0.2033,0.2279,0.2502,0.2616,0.2664,0.2669,0.2778,0.3004,0.3126,0.3115
1980-01-30,0.3081,0.3005,0.2927,0.2886,0.2928,0.3085,0.32799999999999996,0.3566,0.3823,0.3626,0.3592,0.3775,0.3717,0.3598,0.3686,0.3595,0.3412,0.3006,0.2671,0.2375,0.2051,0.1997,0.1864,0.1898
1980-01-31,0.2254,0.28600000000000003,0.3566,0.4189,0.4638,0.499,0.5544,0.604,0.6217,0.6212,0.6134,0.5944,0.5754,0.5525,0.539,0.5342,0.5154,0.4643,0.4098,0.3542,0.2999,0.2591,0.2246,0.1964
1980-02-01,0.1803,0.1734,0.1752,0.179,0.1817,0.2026,0.2151,0.2168,0.2098,0.1888,0.1873,0.1967,0.2084,0.2109,0.1962,0.1676,0.1485,0.1329,0.1094,0.0844,0.0765,0.0881,0.1156,0.1497
1980-02-02,0.1934,0.2512,0.3196,0.3651,0.3744,0.3846,0.3889,0.3708,0.3481,0.3112,0.2746,0.2448,0.2232,0.1986,0.1788,0.1712,0.1728,0.1748,0.1803,0.1822,0.1832,0.1838,0.1765,0.1707
1980-02-03,0.1667,0.1708,0.1774,0.1737,0.1812,0.1794,0.2,0.1968,0.1937,0.17600000000000002,0.16399999999999998,0.1639,0.1679,0.1721,0.1761,0.1756,0.1936,0.2243,0.2528,0.2673,0.2815,0.2617,0.2461,0.2327
1980-02-04,0.2108,0.2009,0.1932,0.1889,0.1875,0.2003,0.214,0.2503,0.3124,0.4019,0.4691,0.5123,0.5662,0.6275,0.6894,0.7319,0.7519,0.7467,0.7065,0.6609,0.6167,0.5804,0.5474,0.52
1980-02-05,0.4994,0.4912,0.4919,0.5068,0.5169,0.5216,0.5266,0.5325,0.5198,0.5128,0.4822,0.4404,0.3935,0.3577,0.3375,0.3237,0.3099,0.2816,0.2416,0.2213,0.204,0.1905,0.18,0.1742
1980-02-06,0.1751,0.1598,0.1428,0.1373,0.1445,0.1616,0.1736,0.1871,0.2019,0.2042,0.2147,0.2285,0.2378,0.2378,0.2421,0.27,0.3034,0.3177,0.3168,0.2984,0.2832,0.2712,0.2568,0.2504
1980-02-07,0.2496,0.2515,0.2442,0.2268,0.221,0.2427,0.2647,0.2465,0.2361,0.2402,0.2405,0.2532,0.2869,0.3171,0.3463,0.3561,0.3595,0.3777,0.3923,0.4088,0.4258,0.445,0.45799999999999996,0.4652
1980-02-08,0.4772,0.491,0.5082,0.517,0.5131,0.5189,0.498,0.4824,0.4565,0.4112,0.3625,0.3405,0.3406,0.3082,0.2689,0.2517,0.273,0.3039,0.319,0.3163,0.3103,0.3096,0.3022,0.2789
1980-02-09,0.2558,0.2305,0.2046,0.1816,0.174,0.1762,0.1843,0.1953,0.2018,0.2039,0.2073,0.209,0.2181,0.2269,0.2496,0.2668,0.2561,0.2466,0.2333,0.2359,0.2493,0.2778,0.3141,0.3316
1980-02-10,0.354,0.3745,0.4098,0.4202,0.4163,0.4075,0.4183,0.4103,0.3839,0.3691,0.3763,0.3851,0.4007,0.4318,0.4411,0.4263,0.4316,0.4246,0.4114,0.4007,0.3838,0.3637,0.3637,0.3439
1980-02-11,0.3277,0.3053,0.2889,0.2703,0.2584,0.2536,0.2441,0.2269,0.1988,0.1708,0.1451,0.1355,0.1335,0.1314,0.1218,0.1188,0.1269,0.1334,0.1407,0.1573,0.1806,0.2029,0.2099,0.2177
1980-02-12,0.2292,0.2498,0.2712,0.2898,0.3125,0.331,0.3364,0.3354,0.3211,0.3023,0.2903,0.29,0.2841,0.2642,0.2468,0.251,0.2647,0.2809,0.2944,0.2969,0.2989,0.2987,0.2986,0.29
