,index,capacity_factor,cluster,counts,data_type
0,0,0.0,0.0,38.0,solar
1,1,0.0,0.0,38.0,solar
2,2,0.0,0.0,38.0,solar
3,3,0.0,0.0,38.0,solar
4,4,0.0,0.0,38.0,solar
5,5,0.0,0.0,38.0,solar
6,6,0.0469,0.0,38.0,solar
7,7,0.1678,0.0,38.0,solar
8,8,0.2972,0.0,38.0,solar
9,9,0.40700000000000003,0.0,38.0,solar
10,10,0.4891,0.0,38.0,solar
11,11,0.5345,0.0,38.0,solar
12,12,0.5351,0.0,38.0,solar
13,13,0.5038,0.0,38.0,solar
14,14,0.4321,0.0,38.0,solar
15,15,0.3218,0.0,38.0,solar
16,16,0.1907,0.0,38.0,solar
17,17,0.0697,0.0,38.0,solar
18,18,0.0009,0.0,38.0,solar
19,19,0.0,0.0,38.0,solar
20,20,0.0,0.0,38.0,solar
21,21,0.0,0.0,38.0,solar
22,22,0.0,0.0,38.0,solar
23,23,0.0,0.0,38.0,solar
24,24,0.0,1.0,61.0,solar
25,25,0.0,1.0,61.0,solar
26,26,0.0,1.0,61.0,solar
27,27,0.0,1.0,61.0,solar
28,28,0.0,1.0,61.0,solar
29,29,0.0,1.0,61.0,solar
30,30,0.0,1.0,61.0,solar
31,31,0.0023,1.0,61.0,solar
32,32,0.0407,1.0,61.0,solar
33,33,0.10300000000000001,1.0,61.0,solar
34,34,0.1614,1.0,61.0,solar
35,35,0.2,1.0,61.0,solar
36,36,0.1933,1.0,61.0,solar
37,37,0.1628,1.0,61.0,solar
38,38,0.1136,1.0,61.0,solar
39,39,0.0535,1.0,61.0,solar
40,40,0.0074,1.0,61.0,solar
41,41,0.0,1.0,61.0,solar
42,42,0.0,1.0,61.0,solar
43,43,0.0,1.0,61.0,solar
44,44,0.0,1.0,61.0,solar
45,45,0.0,1.0,61.0,solar
46,46,0.0,1.0,61.0,solar
47,47,0.0,1.0,61.0,solar
48,48,0.0,2.0,46.0,solar
49,49,0.0,2.0,46.0,solar
50,50,0.0,2.0,46.0,solar
51,51,0.0,2.0,46.0,solar
52,52,0.0,2.0,46.0,solar
53,53,0.0259,2.0,46.0,solar
54,54,0.1128,2.0,46.0,solar
55,55,0.2183,2.0,46.0,solar
56,56,0.3087,2.0,46.0,solar
57,57,0.3687,2.0,46.0,solar
58,58,0.397,2.0,46.0,solar
59,59,0.4048,2.0,46.0,solar
60,60,0.3941,2.0,46.0,solar
61,61,0.3634,2.0,46.0,solar
62,62,0.3169,2.0,46.0,solar
63,63,0.2519,2.0,46.0,solar
64,64,0.1734,2.0,46.0,solar
65,65,0.0964,2.0,46.0,solar
66,66,0.0301,2.0,46.0,solar
67,67,0.0003,2.0,46.0,solar
68,68,0.0,2.0,46.0,solar
69,69,0.0,2.0,46.0,solar
70,70,0.0,2.0,46.0,solar
71,71,0.0,2.0,46.0,solar
72,72,0.0,3.0,58.0,solar
73,73,0.0,3.0,58.0,solar
74,74,0.0,3.0,58.0,solar
75,75,0.0,3.0,58.0,solar
76,76,0.0,3.0,58.0,solar
77,77,0.0,3.0,58.0,solar
78,78,0.0,3.0,58.0,solar
79,79,0.0185,3.0,58.0,solar
80,80,0.1048,3.0,58.0,solar
81,81,0.2023,3.0,58.0,solar
82,82,0.2854,3.0,58.0,solar
83,83,0.3333,3.0,58.0,solar
84,84,0.3341,3.0,58.0,solar
85,85,0.3085,3.0,58.0,solar
86,86,0.2517,3.0,58.0,solar
87,87,0.1523,3.0,58.0,solar
88,88,0.0495,3.0,58.0,solar
89,89,0.0001,3.0,58.0,solar
90,90,0.0,3.0,58.0,solar
91,91,0.0,3.0,58.0,solar
92,92,0.0,3.0,58.0,solar
93,93,0.0,3.0,58.0,solar
94,94,0.0,3.0,58.0,solar
95,95,0.0,3.0,58.0,solar
96,96,0.0,4.0,55.0,solar
97,97,0.0,4.0,55.0,solar
98,98,0.0,4.0,55.0,solar
99,99,0.0,4.0,55.0,solar
100,100,0.0011,4.0,55.0,solar
101,101,0.0449,4.0,55.0,solar
102,102,0.1324,4.0,55.0,solar
103,103,0.239,4.0,55.0,solar
104,104,0.3457,4.0,55.0,solar
105,105,0.4411,4.0,55.0,solar
106,106,0.5108,4.0,55.0,solar
107,107,0.5361,4.0,55.0,solar
108,108,0.5327,4.0,55.0,solar
109,109,0.5039,4.0,55.0,solar
110,110,0.4344,4.0,55.0,solar
111,111,0.3356,4.0,55.0,solar
112,112,0.2331,4.0,55.0,solar
