metric,value,year,method,n_clusters
correlation,0.09369436722588265,2008,medoids,1
nrmse dc,12.691765858903375,2008,medoids,1
rae dc,6.289713132345845,2008,medoids,1
correlation,0.09905721069889606,2009,medoids,1
nrmse dc,12.601845715234576,2009,medoids,1
rae dc,6.899275525193642,2009,medoids,1
correlation,0.10187403713378673,2010,medoids,1
nrmse dc,12.474761931231528,2010,medoids,1
rae dc,8.497259101082411,2010,medoids,1
correlation,0.09742574289820571,2011,medoids,1
nrmse dc,13.723135916971907,2011,medoids,1
rae dc,9.10836831222104,2011,medoids,1
correlation,0.09941150364301692,2012,medoids,1
nrmse dc,12.971943218201174,2012,medoids,1
rae dc,8.103338837311362,2012,medoids,1
correlation,0.10240141896873715,2013,medoids,1
nrmse dc,13.908495324513249,2013,medoids,1
rae dc,9.735872248557925,2013,medoids,1
correlation,0.10315573615373781,2014,medoids,1
nrmse dc,15.670034816542739,2014,medoids,1
rae dc,12.504287741906474,2014,medoids,1
correlation,0.11181631026718013,2015,medoids,1
nrmse dc,16.960821970710835,2015,medoids,1
rae dc,18.116339440842992,2015,medoids,1
correlation,0.11466506711553322,2016,medoids,1
nrmse dc,16.123837354357253,2016,medoids,1
rae dc,16.804441277244575,2016,medoids,1
correlation,0.0673990686796339,2008,medoids,2
nrmse dc,5.6346473856999,2008,medoids,2
rae dc,3.654058529040413,2008,medoids,2
correlation,0.07276191215264731,2009,medoids,2
nrmse dc,6.325238255802117,2009,medoids,2
rae dc,4.368934555513115,2009,medoids,2
correlation,0.07557873858753798,2010,medoids,2
nrmse dc,6.523146990550413,2010,medoids,2
rae dc,10.269628459026364,2010,medoids,2
correlation,0.07113044435195696,2011,medoids,2
nrmse dc,7.50590246889213,2011,medoids,2
rae dc,6.736686544269055,2011,medoids,2
correlation,0.07311620509676815,2012,medoids,2
nrmse dc,7.14763956132834,2012,medoids,2
rae dc,8.863340023966535,2012,medoids,2
correlation,0.07610612042248839,2013,medoids,2
nrmse dc,7.686165988856185,2013,medoids,2
rae dc,7.191862715099794,2013,medoids,2
correlation,0.07686043760748906,2014,medoids,2
nrmse dc,9.582713543871437,2014,medoids,2
rae dc,11.078065214471069,2014,medoids,2
correlation,0.08552101172093136,2015,medoids,2
nrmse dc,10.96475581859452,2015,medoids,2
rae dc,16.222167540462532,2015,medoids,2
correlation,0.08836976856928447,2016,medoids,2
nrmse dc,11.059032989188308,2016,medoids,2
rae dc,17.67494412966321,2016,medoids,2
correlation,0.010031272730892956,2008,medoids,4
nrmse dc,3.0261223314402304,2008,medoids,4
rae dc,3.121654772792469,2008,medoids,4
correlation,0.01289922568793933,2009,medoids,4
nrmse dc,4.072388782045153,2009,medoids,4
rae dc,4.961059057056258,2009,medoids,4
correlation,0.015716052122830004,2010,medoids,4
nrmse dc,4.936961276320562,2010,medoids,4
rae dc,11.226300972115402,2010,medoids,4
correlation,0.011267757887248986,2011,medoids,4
nrmse dc,5.334470301919677,2011,medoids,4
rae dc,6.452073740082976,2011,medoids,4
correlation,0.013253518632060183,2012,medoids,4
nrmse dc,5.139596706678417,2012,medoids,4
rae dc,9.48710698928726,2012,medoids,4
correlation,0.016243433957780423,2013,medoids,4
nrmse dc,5.397228915413927,2013,medoids,4
rae dc,6.909436762852464,2013,medoids,4
correlation,0.016997751142781087,2014,medoids,4
nrmse dc,7.6418144353978406,2014,medoids,4
rae dc,11.702101217581932,2014,medoids,4
correlation,0.025658325256223396,2015,medoids,4
nrmse dc,9.002833819146915,2015,medoids,4
rae dc,16.00305190248905,2015,medoids,4
correlation,0.028507082104576493,2016,medoids,4
nrmse dc,9.13096966379119,2016,medoids,4
rae dc,18.46164354970787,2016,medoids,4
correlation,0.011010670999292241,2008,medoids,8
