metric,value,year,method,n_clusters
correlation,0.08861402331249053,2012,medoids,2
nrmse dc,6.29109910724322,2012,medoids,2
rae dc,4.972923206920048,2012,medoids,2
correlation,0.09160393863821074,2013,medoids,2
nrmse dc,6.794750100941665,2013,medoids,2
rae dc,5.577359731012916,2013,medoids,2
correlation,0.0923582558232114,2014,medoids,2
nrmse dc,8.460368112470148,2014,medoids,2
rae dc,8.03549215871435,2014,medoids,2
correlation,0.10101882993665372,2015,medoids,2
nrmse dc,9.947688013512275,2015,medoids,2
rae dc,13.732246262989525,2015,medoids,2
correlation,0.10386758678500667,2016,medoids,2
nrmse dc,9.84372634098755,2016,medoids,2
rae dc,13.049240434732432,2016,medoids,2
correlation,0.013365501614469366,2012,medoids,4
nrmse dc,3.633750484502521,2012,medoids,4
rae dc,5.899062172631933,2012,medoids,4
correlation,0.016355416940189566,2013,medoids,4
nrmse dc,4.033999192104357,2013,medoids,4
rae dc,4.869825577845954,2013,medoids,4
correlation,0.017109734125190235,2014,medoids,4
nrmse dc,6.051509162760925,2014,medoids,4
rae dc,7.8133151388761,2014,medoids,4
correlation,0.02577030823863254,2015,medoids,4
nrmse dc,7.644654601323542,2015,medoids,4
rae dc,13.442983970268662,2015,medoids,4
correlation,0.02861906508698549,2016,medoids,4
nrmse dc,7.329260108191648,2016,medoids,4
rae dc,14.06029450085776,2016,medoids,4
correlation,0.0042012624371936536,2012,medoids,8
nrmse dc,3.238048815746738,2012,medoids,8
rae dc,6.909934274444944,2012,medoids,8
correlation,0.008609279058937788,2013,medoids,8
nrmse dc,3.34972886315993,2013,medoids,8
rae dc,4.908213625367868,2013,medoids,8
correlation,0.002978159747852057,2014,medoids,8
nrmse dc,5.353718551080177,2014,medoids,8
rae dc,8.826181973690115,2014,medoids,8
correlation,0.017957375205562176,2015,medoids,8
nrmse dc,6.983744923782241,2015,medoids,8
rae dc,13.0441019339109,2015,medoids,8
correlation,0.016633609889704155,2016,medoids,8
nrmse dc,7.039679071078074,2016,medoids,8
rae dc,15.123348007233039,2016,medoids,8
correlation,0.00447820256310046,2012,medoids,16
nrmse dc,2.7017710820722116,2012,medoids,16
rae dc,5.909826660636592,2012,medoids,16
correlation,0.011191433162236844,2013,medoids,16
nrmse dc,2.907883085355987,2013,medoids,16
rae dc,5.169299807274393,2013,medoids,16
correlation,0.00822243507382133,2014,medoids,16
nrmse dc,4.865861357606664,2014,medoids,16
rae dc,7.805914840905149,2014,medoids,16
correlation,0.020539529308861233,2015,medoids,16
nrmse dc,6.6536067868265505,2015,medoids,16
rae dc,13.20178446037371,2015,medoids,16
correlation,0.019731766035616587,2016,medoids,16
nrmse dc,6.416407428819833,2016,medoids,16
rae dc,14.021700784422729,2016,medoids,16
correlation,0.00044531097956264826,2012,medoids,32
nrmse dc,2.7054618998989777,2012,medoids,32
rae dc,6.093761257611109,2012,medoids,32
correlation,0.007863937717939215,2013,medoids,32
nrmse dc,2.502108688151915,2013,medoids,32
rae dc,4.744317566541709,2013,medoids,32
correlation,0.004186595457930616,2014,medoids,32
nrmse dc,4.538745908941486,2014,medoids,32
rae dc,8.189406268574093,2014,medoids,32
correlation,0.017212033864563603,2015,medoids,32
nrmse dc,6.3142265364427805,2015,medoids,32
rae dc,13.354615476609903,2015,medoids,32
correlation,0.01588826854870558,2016,medoids,32
nrmse dc,6.683577459396711,2016,medoids,32
rae dc,14.934178835824412,2016,medoids,32
correlation,0.004128453837235739,2012,medoids,48
nrmse dc,2.750565313668833,2012,medoids,48
rae dc,6.428240386689741,2012,medoids,48
correlation,0.011952234367010206,2013,medoids,48
nrmse dc,2.7468712303881673,2013,medoids,48
rae dc,5.458878211264465,2013,medoids,48
correlation,0.004782006819221363,2014,medoids,48
nrmse dc,4.601755616522269,2014,medoids,48
rae dc,8.324124823051477,2014,medoids,48
correlation,0.021300330513634596,2015,medoids,48
nrmse dc,6.492870139681045,2015,medoids,48
rae dc,13.51576439570871,2015,medoids,48
correlation,0.019976565197776575,2016,medoids,48
nrmse dc,6.538298438990128,2016,medoids,48
rae dc,14.558599707982665,2016,medoids,48
correlation,0.006704143030401381,2012,medoids,61
nrmse dc,3.127481776848498,2012,medoids,61
rae dc,7.508379792011264,2012,medoids,61
correlation,0.0022156495882726577,2013,medoids,61
nrmse dc,2.4909805186151295,2013,medoids,61
rae dc,3.8690384969240648,2013,medoids,61
correlation,0.005938943413443476,2014,medoids,61
nrmse dc,4.868797108299328,2014,medoids,61
rae dc,9.39501816682162,2014,medoids,61
correlation,0.010579380280969755,2015,medoids,61
nrmse dc,6.255696104216974,2015,medoids,61
rae dc,12.448294084332856,2015,medoids,61
correlation,0.01088277274928906,2016,medoids,61
nrmse dc,6.9349605967604555,2016,medoids,61
rae dc,15.733275424926445,2016,medoids,61
correlation,0.08861402331249053,2012,medoids,2
nrmse dc,6.29109910724322,2012,medoids,2
rae dc,4.972923206920048,2012,medoids,2
correlation,0.09160393863821074,2013,medoids,2
nrmse dc,6.794750100941665,2013,medoids,2
rae dc,5.577359731012916,2013,medoids,2
correlation,0.0923582558232114,2014,medoids,2
nrmse dc,8.460368112470148,2014,medoids,2
rae dc,8.03549215871435,2014,medoids,2
correlation,0.10101882993665372,2015,medoids,2
nrmse dc,9.947688013512275,2015,medoids,2
rae dc,13.732246262989525,2015,medoids,2
correlation,0.10386758678500667,2016,medoids,2
nrmse dc,9.84372634098755,2016,medoids,2
rae dc,13.049240434732432,2016,medoids,2
correlation,0.013442913510942067,2012,medoids,4
nrmse dc,3.6345259302138544,2012,medoids,4
rae dc,5.805239022726046,2012,medoids,4
correlation,0.016432828836662267,2013,medoids,4
nrmse dc,4.055237152721048,2013,medoids,4
rae dc,4.955947255131841,2013,medoids,4
correlation,0.017187146021662936,2014,medoids,4
nrmse dc,6.060510742028391,2014,medoids,4
rae dc,7.722872587192023,2014,medoids,4
correlation,0.02584772013510524,2015,medoids,4
nrmse dc,7.670668068562453,2015,medoids,4
rae dc,13.5229862264124,2015,medoids,4
correlation,0.028696476983458192,2016,medoids,4
nrmse dc,7.318833586726748,2016,medoids,4
rae dc,13.96483796604648,2016,medoids,4
correlation,0.0028629860500779536,2012,medoids,8
nrmse dc,3.275229762658873,2012,medoids,8
rae dc,7.058745751684966,2012,medoids,8
correlation,0.010798413214824701,2013,medoids,8
nrmse dc,3.2834940571777267,2013,medoids,8
rae dc,4.5502198087662125,2013,medoids,8
correlation,0.005895802760979452,2014,medoids,8
nrmse dc,5.294977368202348,2014,medoids,8
rae dc,8.971921455278828,2014,medoids,8
correlation,0.02014650936144909,2015,medoids,8
nrmse dc,6.864563548029391,2015,medoids,8
rae dc,12.957065838378815,2015,medoids,8
correlation,0.01882274404559107,2016,medoids,8
nrmse dc,7.108731914024189,2016,medoids,8
rae dc,15.286398277412339,2016,medoids,8
correlation,0.006197755467542458,2012,medoids,16
nrmse dc,3.0396814434184205,2012,medoids,16
rae dc,6.8569395661946215,2012,medoids,16
correlation,0.013185091077075032,2013,medoids,16
